> sid: 0, rid: 7, gid: 0, cap: 25, size: 5
> sid: 54, rid: 2, gid: 19, cap: 30, size: 5
> sid: 55, rid: 2, gid: 20, cap: 24, size: 4
> sid: 56, rid: 2, gid: 21, cap: 18, size: 3
> sid: 57, rid: 2, gid: 22, cap: 12, size: 2
> sid: 58, rid: 2, gid: 23, cap: 24, size: 4
> sid: 59, rid: 2, gid: 24, cap: 6, size: 1
> sid: 60, rid: 2, gid: 25, cap: 18, size: 3
> sid: 61, rid: 2, gid: 26, cap: 30, size: 5
> sid: 62, rid: 2, gid: 27, cap: 18, size: 3
> sid: 63, rid: 8, gid: 0, cap: 30, size: 5
> sid: 64, rid: 2, gid: 28, cap: 18, size: 3
> sid: 65, rid: 8, gid: 1, cap: 18, size: 3
> sid: 66, rid: 2, gid: 29, cap: 6, size: 1
> sid: 67, rid: 8, gid: 2, cap: 24, size: 4
> sid: 68, rid: 8, gid: 3, cap: 6, size: 1
> sid: 69, rid: 8, gid: 4, cap: 12, size: 2
> sid: 70, rid: 8, gid: 5, cap: 18, size: 3
> sid: 71, rid: 8, gid: 6, cap: 30, size: 5
> sid: 72, rid: 8, gid: 7, cap: 18, size: 3
> sid: 73, rid: 8, gid: 8, cap: 18, size: 3
> sid: 74, rid: 8, gid: 9, cap: 6, size: 1
> sid: 75, rid: 8, gid: 10, cap: 30, size: 5
> sid: 76, rid: 8, gid: 11, cap: 6, size: 1
> sid: 77, rid: 8, gid: 12, cap: 24, size: 4
> sid: 78, rid: 8, gid: 13, cap: 6, size: 1
> sid: 79, rid: 8, gid: 14, cap: 30, size: 5
> sid: 80, rid: 8, gid: 15, cap: 28, size: 4
> sid: 81, rid: 8, gid: 16, cap: 35, size: 5
> sid: 82, rid: 8, gid: 17, cap: 35, size: 5
> sid: 83, rid: 8, gid: 18, cap: 21, size: 3
> sid: 84, rid: 8, gid: 19, cap: 28, size: 4
> sid: 85, rid: 8, gid: 20, cap: 14, size: 2
> sid: 86, rid: 8, gid: 21, cap: 21, size: 3
> sid: 87, rid: 8, gid: 22, cap: 28, size: 4
> sid: 88, rid: 8, gid: 23, cap: 7, size: 1
> sid: 89, rid: 8, gid: 24, cap: 28, size: 4
> sid: 90, rid: 8, gid: 25, cap: 28, size: 4
> sid: 91, rid: 8, gid: 26, cap: 14, size: 2
> sid: 92, rid: 8, gid: 27, cap: 21, size: 3
> sid: 93, rid: 8, gid: 28, cap: 7, size: 1
> sid: 94, rid: 8, gid: 29, cap: 7, size: 1
> sid: 95, rid: 8, gid: 30, cap: 14, size: 2
> sid: 96, rid: 12, gid: 0, cap: 14, size: 2
> sid: 97, rid: 12, gid: 1, cap: 28, size: 4
> sid: 98, rid: 12, gid: 2, cap: 35, size: 5
> sid: 99, rid: 12, gid: 3, cap: 28, size: 4
> sid: 100, rid: 12, gid: 4, cap: 28, size: 4
> sid: 101, rid: 12, gid: 5, cap: 21, size: 3
> sid: 102, rid: 12, gid: 6, cap: 35, size: 5
> sid: 103, rid: 12, gid: 7, cap: 14, size: 2
> sid: 104, rid: 12, gid: 8, cap: 14, size: 2
> sid: 105, rid: 12, gid: 9, cap: 35, size: 5
> sid: 106, rid: 12, gid: 10, cap: 14, size: 2
> sid: 107, rid: 12, gid: 11, cap: 7, size: 1
> sid: 108, rid: 12, gid: 12, cap: 28, size: 4
> sid: 109, rid: 12, gid: 13, cap: 14, size: 2
> sid: 110, rid: 12, gid: 14, cap: 14, size: 2
> sid: 111, rid: 12, gid: 15, cap: 21, size: 3
> sid: 112, rid: 12, gid: 16, cap: 21, size: 3
> sid: 113, rid: 12, gid: 17, cap: 21, size: 3
> sid: 114, rid: 12, gid: 18, cap: 14, size: 2
> sid: 115, rid: 12, gid: 19, cap: 32, size: 4
> sid: 116, rid: 12, gid: 20, cap: 24, size: 3
> sid: 117, rid: 12, gid: 21, cap: 32, size: 4
> sid: 118, rid: 12, gid: 22, cap: 8, size: 1
> sid: 119, rid: 12, gid: 23, cap: 32, size: 4
> sid: 120, rid: 12, gid: 24, cap: 16, size: 2
> sid: 121, rid: 12, gid: 25, cap: 16, size: 2
> sid: 122, rid: 12, gid: 26, cap: 32, size: 4
> sid: 123, rid: 12, gid: 27, cap: 40, size: 5
> sid: 124, rid: 12, gid: 28, cap: 32, size: 4
> sid: 125, rid: 12, gid: 29, cap: 16, size: 2
> sid: 126, rid: 6, gid: 0, cap: 40, size: 5
> sid: 127, rid: 12, gid: 30, cap: 16, size: 2
> sid: 128, rid: 12, gid: 31, cap: 8, size: 1
> sid: 129, rid: 6, gid: 1, cap: 32, size: 4
> sid: 130, rid: 6, gid: 2, cap: 8, size: 1
> sid: 131, rid: 6, gid: 3, cap: 16, size: 2
> sid: 132, rid: 6, gid: 4, cap: 8, size: 1
> sid: 133, rid: 6, gid: 5, cap: 32, size: 4
> sid: 134, rid: 6, gid: 6, cap: 16, size: 2
> sid: 135, rid: 6, gid: 7, cap: 8, size: 1
> sid: 136, rid: 6, gid: 8, cap: 8, size: 1
> sid: 137, rid: 6, gid: 9, cap: 8, size: 1
> sid: 138, rid: 6, gid: 10, cap: 40, size: 5
> sid: 139, rid: 6, gid: 11, cap: 16, size: 2
> sid: 140, rid: 6, gid: 12, cap: 24, size: 3
> sid: 141, rid: 6, gid: 13, cap: 16, size: 2
> sid: 142, rid: 6, gid: 14, cap: 32, size: 4
> sid: 143, rid: 6, gid: 15, cap: 40, size: 5
> sid: 144, rid: 6, gid: 16, cap: 40, size: 5
> sid: 145, rid: 6, gid: 17, cap: 16, size: 2
> sid: 146, rid: 6, gid: 18, cap: 32, size: 4
> sid: 147, rid: 6, gid: 19, cap: 32, size: 4
> sid: 148, rid: 6, gid: 20, cap: 16, size: 2
> sid: 149, rid: 6, gid: 21, cap: 8, size: 1
> sid: 150, rid: 6, gid: 22, cap: 24, size: 3
> sid: 151, rid: 6, gid: 23, cap: 27, size: 3
> sid: 152, rid: 6, gid: 24, cap: 45, size: 5
> sid: 153, rid: 6, gid: 25, cap: 45, size: 5
> sid: 154, rid: 6, gid: 26, cap: 27, size: 3
> sid: 155, rid: 6, gid: 27, cap: 45, size: 5
> sid: 156, rid: 6, gid: 28, cap: 18, size: 2
> sid: 157, rid: 6, gid: 29, cap: 27, size: 3
> sid: 158, rid: 6, gid: 30, cap: 9, size: 1
> sid: 159, rid: 6, gid: 31, cap: 27, size: 3
> sid: 160, rid: 6, gid: 32, cap: 18, size: 2
> sid: 161, rid: 1, gid: 0, cap: 36, size: 4
> sid: 162, rid: 1, gid: 1, cap: 18, size: 2
> sid: 163, rid: 1, gid: 2, cap: 45, size: 5
> sid: 164, rid: 1, gid: 3, cap: 9, size: 1
> sid: 165, rid: 1, gid: 4, cap: 45, size: 5
> sid: 166, rid: 1, gid: 5, cap: 36, size: 4
> sid: 167, rid: 1, gid: 6, cap: 18, size: 2
> sid: 168, rid: 1, gid: 7, cap: 27, size: 3
> sid: 169, rid: 1, gid: 8, cap: 27, size: 3
> sid: 170, rid: 1, gid: 9, cap: 36, size: 4
> sid: 171, rid: 1, gid: 10, cap: 27, size: 3
> sid: 172, rid: 1, gid: 11, cap: 45, size: 5
> sid: 173, rid: 1, gid: 12, cap: 45, size: 5
> sid: 174, rid: 1, gid: 13, cap: 36, size: 4
> sid: 175, rid: 1, gid: 14, cap: 27, size: 3
> sid: 176, rid: 1, gid: 15, cap: 27, size: 3
> sid: 177, rid: 1, gid: 16, cap: 36, size: 4
> sid: 178, rid: 1, gid: 17, cap: 45, size: 5
> sid: 179, rid: 1, gid: 18, cap: 9, size: 1
> sid: 180, rid: 1, gid: 19, cap: 45, size: 5
> sid: 181, rid: 1, gid: 20, cap: 45, size: 5
> sid: 182, rid: 1, gid: 21, cap: 9, size: 1
> sid: 183, rid: 1, gid: 22, cap: 45, size: 5
> sid: 184, rid: 1, gid: 23, cap: 9, size: 1
> sid: 185, rid: 1, gid: 24, cap: 27, size: 3
> sid: 186, rid: 1, gid: 25, cap: 27, size: 3
> sid: 187, rid: 1, gid: 26, cap: 18, size: 2
> sid: 188, rid: 1, gid: 27, cap: 20, size: 2
> sid: 189, rid: 1, gid: 28, cap: 20, size: 2
> sid: 190, rid: 5, gid: 0, cap: 50, size: 5
> sid: 191, rid: 5, gid: 1, cap: 40, size: 4
> sid: 192, rid: 5, gid: 2, cap: 10, size: 1
> sid: 193, rid: 5, gid: 3, cap: 40, size: 4
> sid: 194, rid: 5, gid: 4, cap: 20, size: 2
> sid: 195, rid: 5, gid: 5, cap: 10, size: 1
> sid: 196, rid: 5, gid: 6, cap: 10, size: 1
> sid: 197, rid: 5, gid: 7, cap: 40, size: 4
> sid: 198, rid: 5, gid: 8, cap: 30, size: 3
> sid: 199, rid: 5, gid: 9, cap: 10, size: 1
> sid: 200, rid: 5, gid: 10, cap: 50, size: 5
> sid: 201, rid: 5, gid: 11, cap: 20, size: 2
> sid: 202, rid: 5, gid: 12, cap: 50, size: 5
> sid: 203, rid: 5, gid: 13, cap: 30, size: 3
> sid: 204, rid: 5, gid: 14, cap: 40, size: 4
> sid: 205, rid: 5, gid: 15, cap: 50, size: 5
> sid: 206, rid: 5, gid: 16, cap: 10, size: 1
> sid: 207, rid: 5, gid: 17, cap: 50, size: 5
> sid: 208, rid: 5, gid: 18, cap: 30, size: 3
> sid: 209, rid: 5, gid: 19, cap: 20, size: 2
> sid: 210, rid: 5, gid: 20, cap: 40, size: 4
> sid: 211, rid: 5, gid: 21, cap: 30, size: 3
> sid: 212, rid: 5, gid: 22, cap: 10, size: 1
> sid: 213, rid: 5, gid: 23, cap: 50, size: 5
> sid: 214, rid: 5, gid: 24, cap: 20, size: 2
> sid: 215, rid: 5, gid: 25, cap: 20, size: 2
> sid: 216, rid: 5, gid: 26, cap: 10, size: 1
> sid: 217, rid: 5, gid: 27, cap: 20, size: 2
> sid: 218, rid: 5, gid: 28, cap: 40, size: 4
> sid: 219, rid: 5, gid: 29, cap: 50, size: 5
> sid: 220, rid: 5, gid: 30, cap: 30, size: 3
> sid: 221, rid: 11, gid: 0, cap: 50, size: 5
> sid: 222, rid: 11, gid: 1, cap: 30, size: 3
> sid: 223, rid: 11, gid: 2, cap: 55, size: 5
> sid: 224, rid: 11, gid: 3, cap: 55, size: 5
> sid: 225, rid: 11, gid: 4, cap: 33, size: 3
> sid: 226, rid: 5, gid: 31, cap: 11, size: 1
> sid: 227, rid: 11, gid: 5, cap: 33, size: 3
> sid: 228, rid: 11, gid: 6, cap: 22, size: 2
> sid: 229, rid: 11, gid: 7, cap: 11, size: 1
> sid: 230, rid: 11, gid: 8, cap: 44, size: 4
> sid: 231, rid: 11, gid: 9, cap: 11, size: 1
> sid: 232, rid: 11, gid: 10, cap: 33, size: 3
> sid: 233, rid: 11, gid: 11, cap: 55, size: 5
> sid: 234, rid: 11, gid: 12, cap: 33, size: 3
> sid: 235, rid: 11, gid: 13, cap: 33, size: 3
> sid: 236, rid: 11, gid: 14, cap: 22, size: 2
> sid: 237, rid: 11, gid: 15, cap: 11, size: 1
> sid: 238, rid: 11, gid: 16, cap: 11, size: 1
> sid: 239, rid: 11, gid: 17, cap: 33, size: 3
> sid: 240, rid: 11, gid: 18, cap: 22, size: 2
> sid: 241, rid: 11, gid: 19, cap: 44, size: 4
> sid: 242, rid: 11, gid: 20, cap: 55, size: 5
> sid: 243, rid: 11, gid: 21, cap: 22, size: 2
> sid: 244, rid: 11, gid: 22, cap: 44, size: 4
> sid: 245, rid: 11, gid: 23, cap: 11, size: 1
> sid: 246, rid: 11, gid: 24, cap: 22, size: 2
> sid: 247, rid: 11, gid: 25, cap: 33, size: 3
> sid: 248, rid: 11, gid: 26, cap: 44, size: 4
> sid: 249, rid: 11, gid: 27, cap: 55, size: 5
> sid: 250, rid: 11, gid: 28, cap: 55, size: 5
> sid: 251, rid: 11, gid: 29, cap: 44, size: 4
> sid: 252, rid: 4, gid: 0, cap: 55, size: 5
> sid: 253, rid: 11, gid: 30, cap: 11, size: 1
> sid: 254, rid: 4, gid: 1, cap: 33, size: 3
> sid: 255, rid: 4, gid: 2, cap: 11, size: 1
> sid: 256, rid: 4, gid: 3, cap: 33, size: 3
> sid: 257, rid: 4, gid: 4, cap: 22, size: 2
> sid: 258, rid: 4, gid: 5, cap: 11, size: 1
> sid: 259, rid: 4, gid: 6, cap: 11, size: 1
> sid: 260, rid: 4, gid: 7, cap: 33, size: 3
> sid: 261, rid: 4, gid: 8, cap: 44, size: 4
> sid: 262, rid: 4, gid: 9, cap: 22, size: 2
> sid: 263, rid: 4, gid: 10, cap: 11, size: 1
> sid: 264, rid: 4, gid: 11, cap: 36, size: 3
> sid: 265, rid: 4, gid: 12, cap: 12, size: 1
> sid: 266, rid: 4, gid: 13, cap: 48, size: 4
> sid: 267, rid: 4, gid: 14, cap: 36, size: 3
> sid: 268, rid: 4, gid: 15, cap: 60, size: 5
> sid: 269, rid: 4, gid: 16, cap: 12, size: 1
> sid: 270, rid: 4, gid: 17, cap: 48, size: 4
> sid: 271, rid: 4, gid: 18, cap: 24, size: 2
> sid: 272, rid: 4, gid: 19, cap: 60, size: 5
> sid: 273, rid: 4, gid: 20, cap: 36, size: 3
> sid: 274, rid: 4, gid: 21, cap: 24, size: 2
> sid: 275, rid: 4, gid: 22, cap: 48, size: 4
> sid: 276, rid: 4, gid: 23, cap: 60, size: 5
> sid: 277, rid: 4, gid: 24, cap: 48, size: 4
> sid: 278, rid: 4, gid: 25, cap: 12, size: 1
> sid: 279, rid: 4, gid: 26, cap: 24, size: 2
> sid: 280, rid: 4, gid: 27, cap: 48, size: 4
> sid: 281, rid: 4, gid: 28, cap: 48, size: 4
> sid: 282, rid: 4, gid: 29, cap: 24, size: 2
> sid: 283, rid: 4, gid: 30, cap: 36, size: 3
> sid: 284, rid: 4, gid: 31, cap: 36, size: 3
> sid: 285, rid: 4, gid: 32, cap: 36, size: 3
> sid: 286, rid: 14, gid: 0, cap: 48, size: 4
> sid: 287, rid: 14, gid: 1, cap: 48, size: 4
> sid: 288, rid: 14, gid: 2, cap: 36, size: 3
> sid: 289, rid: 14, gid: 3, cap: 60, size: 5
> sid: 290, rid: 14, gid: 4, cap: 60, size: 5
> sid: 291, rid: 14, gid: 5, cap: 60, size: 5
> sid: 292, rid: 14, gid: 6, cap: 36, size: 3
> sid: 293, rid: 14, gid: 7, cap: 12, size: 1
> sid: 294, rid: 14, gid: 8, cap: 24, size: 2
> sid: 295, rid: 14, gid: 9, cap: 48, size: 4
> sid: 296, rid: 14, gid: 10, cap: 24, size: 2
> sid: 297, rid: 14, gid: 11, cap: 36, size: 3
> sid: 298, rid: 14, gid: 12, cap: 12, size: 1
> sid: 299, rid: 14, gid: 13, cap: 12, size: 1
> sid: 300, rid: 14, gid: 14, cap: 24, size: 2
> sid: 301, rid: 14, gid: 15, cap: 36, size: 3
> sid: 302, rid: 14, gid: 16, cap: 48, size: 4
> sid: 303, rid: 14, gid: 17, cap: 36, size: 3
> sid: 304, rid: 14, gid: 18, cap: 26, size: 2
> sid: 305, rid: 14, gid: 19, cap: 26, size: 2
> sid: 306, rid: 14, gid: 20, cap: 65, size: 5
> sid: 307, rid: 14, gid: 21, cap: 65, size: 5
> sid: 308, rid: 14, gid: 22, cap: 39, size: 3
> sid: 309, rid: 14, gid: 23, cap: 39, size: 3
> sid: 310, rid: 14, gid: 24, cap: 39, size: 3
> sid: 311, rid: 14, gid: 25, cap: 65, size: 5
> sid: 312, rid: 14, gid: 26, cap: 65, size: 5
> sid: 313, rid: 14, gid: 27, cap: 26, size: 2
> sid: 314, rid: 14, gid: 28, cap: 52, size: 4
> sid: 315, rid: 14, gid: 29, cap: 26, size: 2
> sid: 316, rid: 10, gid: 0, cap: 65, size: 5
> sid: 317, rid: 10, gid: 1, cap: 39, size: 3
> sid: 318, rid: 10, gid: 2, cap: 13, size: 1
> sid: 319, rid: 10, gid: 3, cap: 13, size: 1
> sid: 320, rid: 10, gid: 4, cap: 26, size: 2
> sid: 321, rid: 10, gid: 5, cap: 52, size: 4
> sid: 322, rid: 10, gid: 6, cap: 26, size: 2
> sid: 323, rid: 10, gid: 7, cap: 39, size: 3
> sid: 324, rid: 10, gid: 8, cap: 26, size: 2
> sid: 325, rid: 10, gid: 9, cap: 65, size: 5
> sid: 326, rid: 10, gid: 10, cap: 13, size: 1
> sid: 327, rid: 10, gid: 11, cap: 26, size: 2
> sid: 328, rid: 10, gid: 12, cap: 39, size: 3
> sid: 329, rid: 10, gid: 13, cap: 13, size: 1
> sid: 330, rid: 10, gid: 14, cap: 65, size: 5
> sid: 331, rid: 10, gid: 15, cap: 65, size: 5
> sid: 332, rid: 10, gid: 16, cap: 52, size: 4
> sid: 333, rid: 10, gid: 17, cap: 65, size: 5
> sid: 334, rid: 10, gid: 18, cap: 65, size: 5
> sid: 335, rid: 10, gid: 19, cap: 52, size: 4
> sid: 336, rid: 10, gid: 20, cap: 39, size: 3
> sid: 337, rid: 10, gid: 21, cap: 52, size: 4
> sid: 338, rid: 10, gid: 22, cap: 28, size: 2
> sid: 339, rid: 10, gid: 23, cap: 56, size: 4
> sid: 340, rid: 10, gid: 24, cap: 14, size: 1
> sid: 341, rid: 10, gid: 25, cap: 28, size: 2
> sid: 342, rid: 10, gid: 26, cap: 56, size: 4
> sid: 343, rid: 10, gid: 27, cap: 28, size: 2
> sid: 344, rid: 10, gid: 28, cap: 70, size: 5
> sid: 345, rid: 0, gid: 0, cap: 70, size: 5
> sid: 346, rid: 10, gid: 29, cap: 14, size: 1
> sid: 347, rid: 0, gid: 1, cap: 56, size: 4
> sid: 348, rid: 10, gid: 30, cap: 28, size: 2
> sid: 349, rid: 0, gid: 2, cap: 14, size: 1
> sid: 350, rid: 0, gid: 3, cap: 28, size: 2
> sid: 351, rid: 0, gid: 4, cap: 42, size: 3
> sid: 352, rid: 0, gid: 5, cap: 14, size: 1
> sid: 353, rid: 0, gid: 6, cap: 70, size: 5
> sid: 354, rid: 0, gid: 7, cap: 28, size: 2
> sid: 355, rid: 0, gid: 8, cap: 56, size: 4
> sid: 356, rid: 0, gid: 9, cap: 42, size: 3
> sid: 357, rid: 0, gid: 10, cap: 42, size: 3
> sid: 358, rid: 0, gid: 11, cap: 28, size: 2
> sid: 359, rid: 0, gid: 12, cap: 56, size: 4
> sid: 360, rid: 0, gid: 13, cap: 56, size: 4
> sid: 361, rid: 0, gid: 14, cap: 42, size: 3
> sid: 362, rid: 0, gid: 15, cap: 42, size: 3
> sid: 363, rid: 0, gid: 16, cap: 70, size: 5
> sid: 364, rid: 0, gid: 17, cap: 28, size: 2
> sid: 365, rid: 0, gid: 18, cap: 56, size: 4
> sid: 366, rid: 0, gid: 19, cap: 70, size: 5
> sid: 367, rid: 0, gid: 20, cap: 70, size: 5
> sid: 368, rid: 0, gid: 21, cap: 28, size: 2
> sid: 369, rid: 0, gid: 22, cap: 14, size: 1
> sid: 370, rid: 0, gid: 23, cap: 70, size: 5
> sid: 371, rid: 0, gid: 24, cap: 56, size: 4
> sid: 372, rid: 0, gid: 25, cap: 60, size: 4
> sid: 373, rid: 0, gid: 26, cap: 30, size: 2
> sid: 374, rid: 0, gid: 27, cap: 75, size: 5
> sid: 375, rid: 13, gid: 0, cap: 30, size: 2
> sid: 376, rid: 13, gid: 1, cap: 30, size: 2
> sid: 377, rid: 13, gid: 2, cap: 60, size: 4
> sid: 378, rid: 13, gid: 3, cap: 30, size: 2
> sid: 379, rid: 0, gid: 28, cap: 15, size: 1
> sid: 380, rid: 13, gid: 4, cap: 45, size: 3
> sid: 381, rid: 13, gid: 5, cap: 45, size: 3
> sid: 382, rid: 13, gid: 6, cap: 60, size: 4
> sid: 383, rid: 13, gid: 7, cap: 30, size: 2
> sid: 384, rid: 13, gid: 8, cap: 75, size: 5
> sid: 385, rid: 13, gid: 9, cap: 45, size: 3
> sid: 386, rid: 13, gid: 10, cap: 30, size: 2
> sid: 387, rid: 13, gid: 11, cap: 60, size: 4
> sid: 388, rid: 13, gid: 12, cap: 75, size: 5
> sid: 389, rid: 13, gid: 13, cap: 30, size: 2
> sid: 390, rid: 13, gid: 14, cap: 45, size: 3
> sid: 391, rid: 13, gid: 15, cap: 60, size: 4
> sid: 392, rid: 13, gid: 16, cap: 45, size: 3
> sid: 393, rid: 13, gid: 17, cap: 75, size: 5
> sid: 394, rid: 13, gid: 18, cap: 30, size: 2
> sid: 395, rid: 13, gid: 19, cap: 30, size: 2
> sid: 396, rid: 13, gid: 20, cap: 45, size: 3
> sid: 397, rid: 13, gid: 21, cap: 60, size: 4
> sid: 398, rid: 13, gid: 22, cap: 45, size: 3
> sid: 399, rid: 13, gid: 23, cap: 45, size: 3
> sid: 400, rid: 13, gid: 24, cap: 30, size: 2
> sid: 401, rid: 13, gid: 25, cap: 60, size: 4
> sid: 402, rid: 13, gid: 26, cap: 60, size: 4
> sid: 403, rid: 13, gid: 27, cap: 75, size: 5
> sid: 404, rid: 13, gid: 28, cap: 75, size: 5
> sid: 405, rid: 15, gid: 0, cap: 60, size: 4
> sid: 406, rid: 15, gid: 1, cap: 45, size: 3
> sid: 407, rid: 15, gid: 2, cap: 45, size: 3
> sid: 408, rid: 13, gid: 29, cap: 15, size: 1
> sid: 409, rid: 15, gid: 3, cap: 45, size: 3
> sid: 410, rid: 15, gid: 4, cap: 30, size: 2
> sid: 411, rid: 15, gid: 5, cap: 75, size: 5
> sid: 412, rid: 15, gid: 6, cap: 30, size: 2
> sid: 413, rid: 15, gid: 7, cap: 60, size: 4
> sid: 414, rid: 15, gid: 8, cap: 15, size: 1
> sid: 415, rid: 15, gid: 9, cap: 60, size: 4
> sid: 416, rid: 15, gid: 10, cap: 30, size: 2
> sid: 417, rid: 15, gid: 11, cap: 30, size: 2
> sid: 418, rid: 15, gid: 12, cap: 45, size: 3
> sid: 419, rid: 15, gid: 13, cap: 60, size: 4
> sid: 420, rid: 15, gid: 14, cap: 75, size: 5
> sid: 421, rid: 15, gid: 15, cap: 15, size: 1
> sid: 422, rid: 15, gid: 16, cap: 60, size: 4
> sid: 423, rid: 15, gid: 17, cap: 45, size: 3
> sid: 424, rid: 15, gid: 18, cap: 48, size: 3
> sid: 425, rid: 15, gid: 19, cap: 64, size: 4
> sid: 426, rid: 15, gid: 20, cap: 32, size: 2
> sid: 427, rid: 15, gid: 21, cap: 48, size: 3
> sid: 428, rid: 15, gid: 22, cap: 64, size: 4
> sid: 429, rid: 15, gid: 23, cap: 80, size: 5
> sid: 430, rid: 15, gid: 24, cap: 64, size: 4
> sid: 431, rid: 15, gid: 25, cap: 64, size: 4
> sid: 432, rid: 15, gid: 26, cap: 32, size: 2
> sid: 433, rid: 15, gid: 27, cap: 64, size: 4
> sid: 434, rid: 15, gid: 28, cap: 32, size: 2
> sid: 435, rid: 15, gid: 29, cap: 16, size: 1
> sid: 436, rid: 9, gid: 0, cap: 80, size: 5
> sid: 437, rid: 15, gid: 30, cap: 48, size: 3
> sid: 438, rid: 9, gid: 1, cap: 80, size: 5
> sid: 439, rid: 9, gid: 2, cap: 64, size: 4
> sid: 440, rid: 9, gid: 3, cap: 32, size: 2
> sid: 441, rid: 9, gid: 4, cap: 48, size: 3
> sid: 442, rid: 9, gid: 5, cap: 32, size: 2
> sid: 443, rid: 9, gid: 6, cap: 48, size: 3
> sid: 444, rid: 9, gid: 7, cap: 64, size: 4
> sid: 445, rid: 9, gid: 8, cap: 64, size: 4
> sid: 446, rid: 9, gid: 9, cap: 32, size: 2
> sid: 447, rid: 9, gid: 10, cap: 16, size: 1
> sid: 448, rid: 9, gid: 11, cap: 48, size: 3
> sid: 449, rid: 9, gid: 12, cap: 16, size: 1
> sid: 450, rid: 9, gid: 13, cap: 48, size: 3
> sid: 451, rid: 9, gid: 14, cap: 32, size: 2
> sid: 452, rid: 9, gid: 15, cap: 80, size: 5
> sid: 453, rid: 9, gid: 16, cap: 48, size: 3
> sid: 454, rid: 9, gid: 17, cap: 48, size: 3
> sid: 455, rid: 9, gid: 18, cap: 80, size: 5
> sid: 456, rid: 9, gid: 19, cap: 48, size: 3
> sid: 457, rid: 9, gid: 20, cap: 16, size: 1
> sid: 458, rid: 9, gid: 21, cap: 48, size: 3
> sid: 459, rid: 9, gid: 22, cap: 16, size: 1
> sid: 460, rid: 9, gid: 23, cap: 64, size: 4
> sid: 461, rid: 9, gid: 24, cap: 80, size: 5
> sid: 462, rid: 9, gid: 25, cap: 16, size: 1
> sid: 463, rid: 9, gid: 26, cap: 16, size: 1
> sid: 464, rid: 9, gid: 27, cap: 32, size: 2
